iter	Passed	Remaining
0	53	53405
1	53	26896
2	54	18056
3	54	13621
4	55	10964
5	55	9194
6	55	7937
7	56	6990
8	56	6258
9	57	5667
10	57	5187
11	58	4787
12	58	4442
13	58	4148
14	59	3894
15	59	3669
16	60	3473
17	60	3298
18	60	3145
19	61	3011
20	61	2884
21	62	2769
22	62	2662
23	63	2566
24	63	2477
25	63	2394
26	64	2316
27	64	2244
28	65	2180
29	65	2121
30	66	2064
31	66	2011
32	66	1960
33	67	1911
34	67	1865
35	68	1822
36	68	1781
37	68	1742
38	69	1706
39	69	1671
40	70	1637
41	70	1605
42	70	1576
43	71	1548
44	71	1520
45	72	1493
46	72	1468
47	72	1443
48	73	1420
49	73	1397
50	73	1375
51	74	1356
52	74	1336
53	75	1317
54	75	1299
55	76	1281
56	76	1263
57	76	1247
58	77	1230
59	77	1214
60	77	1199
61	78	1184
62	78	1170
63	79	1157
64	79	1144
65	80	1132
66	80	1119
67	80	1104
68	81	1093
69	81	1081
70	81	1070
71	82	1060
72	82	1050
73	83	1039
74	83	1029
75	83	1020
76	84	1010
77	84	1001
78	85	992
79	85	983
80	85	974
81	86	966
82	86	957
83	87	950
84	87	940
85	87	932
86	87	923
87	88	915
88	88	908
89	89	901
90	89	894
91	89	887
92	90	880
93	90	874
94	91	868
95	91	862
96	91	855
97	92	849
98	92	843
99	93	837
100	93	832
101	93	825
102	94	819
103	94	814
104	94	809
105	95	803
106	95	798
107	96	793
108	96	788
109	96	783
110	97	777
111	97	773
112	97	768
113	98	764
114	98	759
115	98	754
116	99	749
117	99	745
118	100	740
119	100	735
120	100	731
121	101	727
122	101	721
123	101	717
124	101	713
125	102	709
126	102	706
127	102	701
128	103	698
129	103	694
130	104	691
131	104	687
132	104	684
133	105	680
134	105	677
135	106	674
136	106	670
137	106	666
138	107	663
139	107	660
140	107	657
141	108	654
142	108	650
143	109	648
144	109	644
145	109	641
146	110	638
147	110	635
148	110	633
149	111	630
150	111	628
151	112	626
152	112	623
153	112	620
154	113	617
155	113	615
156	114	612
157	114	609
158	114	607
159	115	604
160	115	601
161	115	599
162	116	596
163	116	594
164	116	591
165	117	588
166	117	586
167	117	584
168	118	581
169	118	579
170	119	576
171	119	574
172	119	572
173	120	570
174	120	567
175	120	565
176	121	563
177	121	561
178	121	559
179	122	556
180	122	554
181	122	552
182	123	550
183	123	548
184	124	546
185	124	544
186	124	543
187	125	541
188	125	539
189	126	537
190	126	535
191	126	534
192	127	532
193	127	531
194	128	529
195	128	527
196	128	525
197	129	523
198	129	521
199	130	520
200	130	518
201	130	516
202	131	514
203	131	513
204	131	511
205	132	509
206	132	507
207	132	506
208	133	504
209	133	502
210	134	501
211	134	499
212	134	497
213	135	496
214	135	494
215	135	493
216	136	491
217	136	489
218	136	488
219	137	486
220	137	485
221	138	483
222	138	482
223	138	480
224	139	479
225	139	477
226	139	476
227	140	474
228	140	472
229	140	471
230	141	470
231	141	469
232	142	467
233	142	466
234	142	464
235	143	463
236	143	462
237	143	460
238	144	459
239	144	457
240	144	456
241	145	455
242	145	453
243	146	452
244	146	451
245	146	450
246	147	448
247	147	447
248	147	446
249	148	444
250	148	443
251	149	442
252	149	441
253	149	440
254	150	438
255	150	437
256	151	436
257	151	435
258	151	434
259	152	432
260	152	431
261	152	430
262	153	429
263	153	428
264	153	426
265	154	425
266	154	424
267	154	423
268	155	422
269	155	421
270	156	419
271	156	418
272	156	417
273	157	416
274	157	415
275	157	414
276	158	413
277	158	412
278	159	410
279	159	409
280	159	408
281	160	407
282	160	406
283	160	405
284	161	404
285	161	403
286	161	402
287	162	401
288	162	400
289	163	399
290	163	398
291	163	397
292	164	396
293	164	394
294	164	394
295	165	393
296	165	391
297	165	391
298	166	389
299	166	388
300	167	387
301	167	386
302	167	386
303	168	385
304	168	384
305	169	383
306	169	382
307	169	381
308	170	380
309	170	379
310	170	378
311	171	377
312	171	376
313	172	375
314	172	374
315	172	373
316	173	373
317	173	372
318	173	371
319	174	370
320	174	369
321	175	368
322	175	367
323	175	366
324	176	365
325	176	365
326	177	364
327	177	363
328	177	362
329	178	361
330	178	361
331	179	360
332	179	359
333	179	358
334	180	357
335	180	357
336	181	356
337	181	355
338	181	354
339	182	353
340	182	353
341	183	352
342	183	351
343	184	350
344	184	350
345	184	349
346	185	348
347	185	347
348	185	346
349	186	346
350	186	345
351	187	344
352	187	343
353	187	342
354	188	342
355	188	341
356	189	340
357	189	339
358	189	338
359	190	338
360	190	337
361	191	336
362	191	335
363	191	334
364	192	334
365	192	333
366	192	332
367	193	332
368	193	331
369	194	330
370	194	329
371	194	329
372	195	328
373	195	327
374	196	326
375	196	325
376	196	325
377	197	324
378	197	323
379	198	323
380	198	322
